target,query,size,data_dependencies,max_depth,keyword_count,union_count,all_count,optional_count,match_count,foreach_count,unwind_count,as_count,merge_count,on_count,create_count,set_count,detach_count,delete_count,remove_count,call_count,yield_count,with_count,return_count,distinct_count,order_count,by_count,l_skip_count,limit_count,ascending_count,asc_count,descending_count,desc_count,where_count,or_count,xor_count,and_count,not_count,starts_count,ends_count,contains_count,in_count,is_count,null_count,count_count,case_count,else_count,end_count,when_count,then_count,any_count,none_count,single_count,exists_count,true_count,false_count,target
neo4j,"CALL { MERGE () } RETURN null AS n0 UNION ALL MATCH () MATCH ()<-[:A|B|C|D]-() RETURN null AS n0",96,1,2,12,1,1,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"RETURN 0 ORDER BY [x IN [y IN [zzzzzzzzz IN [] WHERE (false) | (true)] WHERE (false) | (NOT (true))] WHERE toBoolean((null)) | (true)] IS NOT NULL",146,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0
redisgraph,"MATCH ()-[*0]->(:A)--() RETURN 0",32,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memgraph,"MATCH () RETURN min(0)+0",24,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falkordb,"CALL { RETURN 0 AS n1 UNION ALL RETURN 0 AS n1 } RETURN 0 AS n2 UNION RETURN 0 AS n2",84,2,2,12,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"MERGE (x) DELETE x MERGE (x)-[:n0]->(x) MERGE (y) DELETE y MERGE ()",67,4,1,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
neo4j,"                         FOREACH ( n0 IN [0] | CREATE ()-[:A]->()<-[x:B]-() DETACH DELETE startNode(x) )",104,1,2,5,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
memgraph,"RETURN replace("""", """", """")",26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,"RETURN [x IN [] | COUNT { RETURN x AS n0 UNION RETURN x AS n0 }]",64,3,2,8,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"MATCH (n0) CALL { FOREACH ( n1 IN [] | FOREACH ( n2 IN [] | MERGE () ) ) RETURN 0 AS n3 UNION RETURN 0 AS n3 } RETURN 0",119,1,4,13,1,0,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"CALL { RETURN 0 AS n0 } MERGE () RETURN 0",41,0,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redisgraph,"CREATE x = ()-[y:A]->(), ({n0:none(n1 IN [n2 IN [0] | x] WHERE false)}) MERGE ()<-[:B]-() ON CREATE SET y = {}",110,2,2,10,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
memgraph,"CREATE ({n0:(null)}) MERGE ()",29,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
memgraph,"MERGE () RETURN min(true)",25,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
falkordb,"CREATE ()-[x:A]->()-[y:B]->() DELETE y WITH * DELETE x MERGE ()-[:C]->() ON CREATE SET x.n0 = 0",95,3,1,8,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falkordb,"UNWIND null AS n0 CALL {  WITH * MERGE () }",43,0,2,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
falkordb,"UNWIND null AS n0 CALL { UNWIND 0 AS n1 MERGE () }",50,0,2,7,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
neo4j,"RETURN 0 LIMIT (CASE WHEN true THEN 1 WHEN ((null>null) XOR null) THEN 1 END)",77,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,2,2,0,0,0,0,1,0,0
falkordb,"RETURN (((((((((((((((((((((((0)))))))))))))))))))))))",54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redisgraph,"DETACH DELETE startNode(null) DETACH DELETE startNode(null), startNode(null), startNode(null), startNode(null) DELETE startNode(null), startNode(null), startNode(null), startNode(null) ",185,0,1,14,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
