time,lines
1724849855,11890
1724850191,682480
1724850524,695064
1724850857,699715
1724851191,704087
1724851524,707239
1724851859,711131
1724852191,712602
1724852525,714631
1724852857,715652
1724853191,716515
1724853523,717067
1724853855,717600
1724854188,718417
1724854520,719121
1724854853,719822
1724855185,720148
1724855518,720399
1724855851,721298
1724856183,721662
1724856517,721903
1724856850,722119
1724857182,722469
1724857515,723728
1724857848,724736
1724858182,725052
1724858514,725497
1724858848,725812
1724859181,726022
1724859513,726306
1724859845,726929
1724860177,727110
1724860509,727236
1724860842,727314
1724861173,727359
1724861506,727516
1724861839,730522
1724862171,730589
1724862504,730802
1724862836,730966
1724863168,731564
1724863501,731932
1724863833,732003
1724864166,732011
1724864498,732065
1724864831,732128
1724865164,732205
1724865497,732219
1724865829,732234
1724866162,732243
1724866495,732288
1724866829,732926
1724867161,732960
1724867492,732978
1724867824,733004
1724868155,733024
1724868488,733060
1724868819,733125
1724869151,733188
1724869484,733198
1724869816,733234
1724870148,734445
1724870480,734581
1724870811,734628
1724871143,734734
1724871475,734931
1724871806,734970
1724872139,734970
1724872470,734977
1724872801,734977
1724873133,734979
1724873464,735021
1724873796,735044
1724874128,735079
1724874459,735200
1724874791,735284
1724875124,735317
1724875455,735612
1724875787,735660
1724876119,735957
1724876451,735970
1724876784,736096
1724877117,736099
1724877450,736099
1724877783,736123
1724878115,736399
1724878447,736413
1724878780,736498
1724879113,736528
1724879444,736547
1724879776,736595
1724880108,736659
1724880440,736695
1724880773,736696
1724881105,736706
1724881437,736739
1724881768,736758
1724882100,736804
1724882431,736804
1724882764,736819
1724883095,736837
1724883427,736843
1724883759,736862
1724884092,736976
1724884424,736991
1724884755,737081
1724885088,737081
1724885419,737479
1724885751,737513
1724886083,737545
1724886415,737572
1724886747,737661
1724887079,737661
1724887413,737697
1724887745,737701
1724888077,737705
1724888408,737722
1724888740,737741
1724889072,737741
1724889403,737847
1724889736,737927
1724890068,737960
1724890400,737966
1724890732,738014
1724891063,738019
1724891395,738028
1724891727,738112
1724892059,738122
1724892391,738143
1724892725,738303
1724893056,738303
1724893389,738329
1724893720,738370
1724894052,738385
1724894383,738385
1724894716,738499
1724895049,738499
1724895380,738499
