time,lines
1725091624,20
1725091954,18715
1725092259,18938
1725092564,19015
1725092869,19055
1725093174,19093
1725093479,19112
1725093784,19121
1725094089,19256
1725094394,19257
1725094698,19267
1725095003,19277
1725095308,19282
1725095613,19318
1725095918,19346
1725096223,19348
1725096529,19348
1725096833,19353
1725097138,19373
1725097443,19382
1725097748,19391
1725098053,19391
1725098358,19392
1725098663,19421
1725098968,19421
1725099273,19423
1725099578,19423
1725099883,19423
1725100188,19423
1725100492,19424
1725100797,19424
1725101102,19428
1725101407,19428
1725101712,19431
1725102017,19434
1725102322,19434
1725102627,19434
1725102932,19434
1725103236,19436
1725103542,19436
1725103846,19436
1725104151,19436
1725104457,19436
1725104761,19436
1725105066,19436
1725105371,19436
1725105676,19438
1725105981,19438
1725106286,19438
1725106591,19438
1725106896,19441
1725107200,19441
1725107506,19443
1725107810,19443
1725108115,19443
1725108420,19443
1725108725,19443
1725109030,19443
1725109335,19443
1725109640,19443
1725109944,19443
1725110249,19444
1725110554,19444
1725110859,19446
1725111164,19446
1725111469,19446
1725111774,19449
1725112079,19449
1725112384,19449
1725112689,19449
1725112994,19449
1725113299,19449
1725113603,19449
1725113908,19451
1725114213,19451
1725114518,19451
1725114823,19452
1725115128,19452
1725115432,19452
1725115737,19452
1725116042,19452
1725116347,19452
1725116652,19456
1725116957,19457
1725117262,19457
1725117567,19457
1725117872,19457
1725118177,19458
1725118481,19458
1725118786,19458
1725119091,19458
1725119396,19458
1725119701,19458
1725120005,19458
1725120310,19458
1725120615,19473
1725120920,19473
1725121225,19473
1725121530,19473
1725121834,19474
1725122139,19474
1725122444,19474
1725122749,19474
1725123054,19474
1725123359,19474
1725123664,19482
1725123969,19482
1725124274,19482
1725124579,19482
1725124884,19482
1725125189,19482
1725125493,19482
1725125798,19491
1725126103,19491
1725126408,19491
1725126713,19491
1725127018,19491
1725127323,19518
1725127628,19520
1725127933,19520
1725128238,19521
1725128543,19521
1725128848,19524
1725129152,19524
1725129457,19524
1725129762,19524
1725130067,19526
1725130372,19526
1725130677,19528
1725130982,19528
1725131287,19530
1725131592,19530
1725131897,19530
1725132202,19530
1725132506,19532
1725132811,19532
1725133116,19532
1725133421,19532
1725133726,19532
1725134031,19532
1725134336,19532
1725134641,19532
1725134945,19532
1725135250,19532
1725135555,19532
1725135859,19532
1725136164,19532
1725136469,19532
1725136774,19532
1725137079,19532
1725137384,19532
1725137689,19532
1725137994,19532
1725138299,19532
1725138604,19532
1725138909,19532
1725139214,19532
1725139519,19532
1725139824,19532
1725140129,19532
1725140434,19532
1725140739,19532
1725141044,19532
1725141348,19532
1725141653,19532
1725141958,19552
1725142263,19552
1725142568,19552
1725142872,19554
1725143177,19554
1725143482,19554
1725143787,19554
1725144092,19554
1725144396,19554
1725144701,19554
1725145006,19554
1725145311,19554
1725145616,19554
1725145921,19554
1725146226,19554
1725146531,19554
1725146835,19561
1725147140,19561
1725147445,19561
1725147750,19561
1725148055,19561
1725148360,19561
1725148665,19567
1725148970,19567
1725149275,19568
1725149580,19568
1725149884,19568
1725150189,19570
1725150494,19570
1725150799,19570
1725151104,19570
1725151409,19570
1725151714,19570
1725152019,19570
1725152324,19570
1725152629,19570
1725152934,19570
1725153239,19570
1725153543,19570
1725153848,19570
1725154153,19570
1725154458,19570
1725154763,19570
1725155068,19570
1725155372,19570
1725155677,19570
1725155982,19570
1725156287,19570
1725156592,19581
1725156897,19581
1725157201,19581
1725157506,19581
1725157811,19581
1725158116,19581
1725158421,19581
1725158726,19581
1725159031,19581
1725159336,19581
1725159641,19581
1725159946,19581
1725160251,19581
1725160556,19581
1725160861,19581
1725161165,19581
1725161470,19581
1725161775,19581
1725162080,19581
1725162385,19581
1725162690,19581
1725162995,19581
1725163300,19581
1725163604,19581
1725163909,19584
1725164214,19584
1725164519,19584
1725164824,19585
1725165129,19585
1725165434,19585
1725165738,19585
1725166043,19585
1725166348,19585
1725166653,19585
1725166958,19585
1725167262,19585
1725167567,19585
1725167872,19585
1725168177,19585
1725168482,19588
1725168787,19588
1725169092,19589
1725169397,19589
1725169701,19589
1725170006,19589
1725170311,19589
1725170616,19589
1725170921,19589
1725171226,19589
1725171531,19589
1725171835,19589
1725172140,19589
1725172445,19589
1725172750,19593
1725173055,19593
1725173360,19593
1725173665,19593
1725173969,19593
1725174274,19593
1725174579,19593
1725174884,19593
1725175189,19593
1725175494,19593
1725175799,19593
1725176104,19599
1725176409,19599
1725176713,19599
1725177018,19600
1725177323,19600
1725177628,19600
1725177933,19600
1725178238,19600
1725178543,19600
1725178847,19600
1725179152,19600
1725179457,19600
1725179762,19600
1725180067,19600
1725180372,19600
1725180677,19600
1725180982,19600
1725181287,19600
1725181591,19643
1725181896,19643
1725182201,19643
1725182506,19643
1725182810,19643
1725183115,19643
1725183420,19643
1725183725,19643
1725184030,19643
1725184335,19643
1725184640,19643
1725184944,19643
1725185249,19643
1725185554,19643
1725185859,19643
1725186164,19643
1725186468,19643
1725186773,19643
1725187078,19643
1725187383,19643
1725187688,19643
1725187993,19643
1725188297,19643
1725188602,19643
1725188907,19643
1725189212,19643
