time,lines
1723641801,20
1723642106,13877
1723642412,13900
1723642717,13924
1723643022,13938
1723643327,13949
1723643633,14315
1723643938,14318
1723644243,14319
1723644548,14324
1723644853,14324
1723645159,14346
1723645464,14380
1723645769,14380
1723646074,14381
1723646379,14381
1723646685,14381
1723646990,14384
1723647295,14391
1723647600,14393
1723647906,14393
1723648211,14394
1723648516,14396
1723648821,14398
1723649127,14399
1723649432,14399
1723649737,14418
1723650042,14420
1723650347,14420
1723650653,14456
1723650958,14456
1723651263,14456
1723651568,14456
1723651873,14456
1723652178,14456
1723652484,14472
1723652789,14483
1723653094,14485
1723653399,14492
1723653705,14497
1723654010,14497
1723654315,14497
1723654620,14497
1723654925,14497
1723655231,14497
1723655536,14497
1723655841,14498
1723656146,14525
1723656452,14528
1723656757,14528
1723657062,14528
1723657367,14527
1723657672,14527
1723657978,14527
1723658283,14529
1723658588,14529
1723658893,14529
1723659198,14529
1723659504,14529
1723659809,14529
1723660114,14529
1723660419,14529
1723660725,14529
1723661030,14529
1723661335,14529
1723661640,14529
1723661946,14529
1723662251,14529
1723662556,14529
1723662861,14529
1723663166,14529
1723663472,14529
1723663777,14529
1723664082,14529
1723664387,14531
1723664693,14531
1723664998,14531
1723665303,14531
1723665608,14531
1723665913,14531
1723666219,14531
1723666524,14531
1723666829,14531
1723667134,14531
1723667439,14531
1723667744,14531
1723668050,14531
1723668355,14534
1723668660,14534
1723668965,14534
1723669270,14534
1723669576,14534
1723669881,14534
1723670186,14534
1723670491,14534
1723670797,14534
1723671102,14534
1723671407,14534
1723671712,14534
1723672017,14534
1723672323,14534
1723672628,14571
1723672933,14571
1723673238,14571
1723673543,14571
1723673849,14575
1723674154,14575
1723674459,14575
1723674764,14575
1723675069,14575
1723675375,14575
1723675680,14575
1723675985,14575
1723676290,14575
1723676595,14572
1723676901,14572
1723677206,14572
1723677511,14572
1723677816,14572
1723678122,14572
1723678427,14572
1723678732,14572
1723679038,14572
1723679343,14572
1723679648,14572
1723679953,14572
1723680259,14572
1723680564,14572
1723680869,14572
1723681174,14572
1723681479,14572
1723681784,14572
1723682090,14572
1723682395,14572
1723682700,14572
1723683006,14572
1723683311,14572
1723683616,14572
1723683921,14572
1723684227,14572
1723684532,14578
1723684837,14578
1723685142,14578
1723685447,14578
1723685753,14578
1723686058,14578
1723686363,14578
1723686668,14578
1723686973,14578
1723687279,14578
1723687584,14578
1723687889,14578
1723688194,14578
1723688500,14578
1723688805,14578
1723689110,14578
1723689415,14578
1723689720,14578
1723690026,14578
1723690331,14578
1723690636,14578
1723690942,14578
1723691247,14578
1723691552,14578
1723691857,14578
1723692163,14578
1723692468,14578
1723692773,14578
1723693078,14578
1723693383,14578
1723693689,14578
1723693994,14578
1723694299,14578
1723694604,14578
1723694911,14578
1723695218,14578
1723695525,14578
1723695831,14576
1723696138,14576
1723696445,14576
1723696752,14576
1723697058,14576
1723697365,14576
1723697671,14574
1723697978,14574
1723698285,14574
1723698591,14574
1723698898,14574
1723699205,14574
1723699512,14574
1723699818,14574
1723700124,14574
1723700431,14574
1723700737,14574
1723701044,14574
1723701351,14574
1723701657,14574
1723701964,14574
1723702271,14574
1723702578,14574
1723702885,14574
1723703191,14574
1723703498,14574
1723703804,14574
1723704111,14574
1723704417,14574
1723704723,14574
1723705030,14574
1723705337,14574
1723705643,14574
1723705950,14574
1723706256,14574
1723706563,14574
1723706870,14574
1723707177,14574
1723707483,14574
1723707790,14574
1723708097,14574
1723708403,14574
1723708710,14574
1723709017,14574
1723709323,14574
1723709630,14574
1723709937,14574
1723710243,14574
1723710550,14574
1723710856,14574
1723711163,14574
1723711470,14574
1723711776,14574
1723712083,14574
1723712390,14574
1723712696,14574
1723713003,14574
1723713310,14574
1723713617,14574
1723713924,14574
1723714231,14574
1723714537,14574
1723714844,14574
1723715151,14574
1723715458,14574
1723715764,14574
1723716071,14574
1723716378,14574
1723716684,14574
1723716991,14574
1723717298,14574
1723717605,14574
1723717911,14574
1723718217,14574
1723718524,14574
1723718831,14574
1723719137,14574
1723719444,14574
1723719751,14574
1723720057,14574
1723720363,14574
1723720670,14574
1723720977,14574
1723721284,14574
1723721590,14574
1723721897,14574
1723722204,14574
1723722511,14574
1723722818,14574
1723723125,14574
1723723431,14574
1723723738,14574
1723724045,14577
1723724352,14577
1723724658,14577
1723724965,14577
1723725272,14577
1723725579,14577
1723725885,14577
1723726192,14577
1723726499,14577
1723726806,14577
1723727112,14577
1723727419,14577
1723727725,14577
1723728031,14577
1723728338,14577
1723728645,14577
1723728951,14577
1723729258,14577
1723729565,14577
1723729872,14577
1723730179,14577
1723730486,14577
1723730793,14577
1723731099,14577
1723731406,14577
1723731713,14577
1723732019,14577
1723732326,14577
1723732632,14577
1723732939,14577
1723733245,14577
1723733552,14578
1723733859,14578
1723734165,14578
1723734472,14580
1723734779,14580
1723735086,14580
1723735393,14580
1723735699,14581
1723736006,14581
1723736313,14581
1723736620,14581
1723736927,14581
1723737234,14581
1723737541,14581
1723737847,14580
1723738155,14580
1723738461,14580
1723738768,14580
1723739076,14580
1723739384,14580
1723739692,14580
1723740002,14580
1723740310,14580
1723740618,14580
1723740926,14580
1723741235,14580
1723741543,14580
1723741851,14580
1723742159,14580
1723742468,14580
1723742776,14580
1723743084,14580
1723743391,14580
1723743700,14580
1723744008,14580
1723744319,14580
1723744627,14580
1723744935,14580
1723745243,14580
1723745551,14580
1723745859,14580
1723746166,14580
1723746474,14580
1723746781,14580
1723747089,14580
1723747397,14580
1723747704,14580
1723748012,14580
1723748320,14580
1723748628,14580
1723748935,14580
1723749244,14580
1723749552,14580
1723749860,14580
1723750168,14580
1723750476,14580
1723750784,14580
1723751092,14580
1723751400,14580
1723751708,14580
1723752017,14580
1723752324,14580
1723752633,14580
1723752940,14580
1723753248,14580
1723753556,14580
1723753864,14580
1723754172,14580
1723754480,14580
1723754788,14580
1723755096,14580
1723755404,14580
1723755713,14580
1723756021,14580
1723756328,14580
1723756635,14580
1723756943,14580
1723757251,14580
1723757559,14580
1723757867,14580
1723758175,14580
1723758483,14580
1723758791,14580
1723759099,14580
1723759407,14580
1723759715,14580
1723760023,14580
1723760331,14580
1723760639,14580
1723760947,14580
1723761255,14580
1723761563,14580
1723761871,14580
1723762180,14580
1723762487,14580
1723762796,14580
1723763103,14580
1723763412,14580
1723763720,14580
1723764028,14580
1723764336,14580
1723764645,14580
1723764952,14580
1723765261,14580
1723765568,14580
1723765877,14580
1723766184,14580
1723766492,14580
1723766799,14582
1723767108,14582
1723767416,14582
1723767724,14582
1723768031,14582
1723768339,14582
1723768647,14582
1723768955,14582
1723769263,14582
1723769571,14582
1723769879,14582
1723770187,14582
1723770495,14582
1723770803,14582
1723771111,14582
1723771419,14582
1723771727,14582
1723772035,14582
1723772343,14582
1723772651,14582
1723772959,14582
1723773267,14582
1723773575,14584
1723773883,14584
1723774191,14584
1723774499,14584
1723774807,14584
1723775115,14584
1723775423,14584
1723775731,14584
1723776040,14582
1723776348,14582
1723776655,14582
1723776963,14582
1723777272,14582
1723777580,14582
1723777889,14582
1723778197,14582
1723778503,14582
1723778811,14582
1723779119,14582
1723779427,14582
1723779735,14582
1723780043,14582
1723780351,14584
1723780659,14584
1723780967,14584
1723781275,14584
1723781583,14584
1723781891,14584
1723782199,14584
1723782507,14584
1723782814,14584
1723783122,14586
1723783430,14586
1723783738,14586
1723784046,14586
1723784354,14586
1723784662,14586
1723784970,14586
1723785278,14586
1723785586,14587
1723785894,14587
1723786203,14587
1723786510,14587
1723786819,14587
1723787126,14587
