time,lines
1723641645,23308
1723641978,499619
1723642308,508621
1723642637,508860
1723642966,510646
1723643296,510646
1723643626,510646
1723643956,510646
1723644286,510646
1723644615,510646
1723644945,510646
1723645275,510646
1723645606,510646
1723645935,510646
1723646266,510646
1723646595,510646
1723646925,510646
1723647255,510646
1723647584,510646
1723647914,510646
1723648243,510646
1723648572,510646
1723648902,510646
1723649231,510646
1723649561,510646
1723649891,510646
1723650220,510646
1723650550,510646
1723650880,510646
1723651211,510646
1723651540,510646
1723651870,510646
1723652199,510646
1723652530,510646
1723652860,510646
1723653189,510646
1723653518,510646
1723653849,510646
1723654179,510646
1723654509,510646
1723654839,510646
1723655169,510646
1723655499,510646
1723655829,510646
1723656158,510646
1723656488,510646
1723656818,510646
1723657148,510646
1723657477,510646
1723657807,510646
1723658138,510646
1723658468,510646
1723658797,510646
1723659127,510646
1723659456,510646
1723659786,510646
1723660116,510646
1723660446,510646
1723660776,510646
1723661105,510646
1723661434,510646
1723661764,510646
1723662093,510646
1723662423,510646
1723662753,510646
1723663082,510646
1723663412,510646
1723663742,510646
1723664072,510646
1723664402,510646
1723664732,510646
1723665061,510646
1723665391,510646
1723665721,510646
1723666051,510646
1723666382,510646
1723666712,510646
1723667041,510646
1723667371,510646
1723667700,510646
1723668030,510646
1723668360,510646
1723668690,510646
1723669019,510646
1723669349,510646
1723669679,510646
1723670009,510646
1723670338,510646
1723670668,510646
1723670998,510646
1723671328,510646
1723671657,510646
1723671989,510646
1723672318,510646
1723672648,510646
1723672978,510646
1723673311,510646
1723673641,510646
1723673971,510646
1723674300,510646
1723674631,510646
1723674961,510646
1723675291,510646
1723675620,510646
1723675951,510646
1723676280,510646
1723676611,510646
1723676941,510646
1723677271,510646
1723677600,510646
1723677930,510646
1723678260,510646
1723678590,510646
1723678919,510646
1723679249,510646
1723679578,510646
1723679908,510646
1723680239,510646
1723680568,510646
1723680897,510646
1723681226,510646
1723681556,510646
1723681888,510646
1723682220,510646
1723682551,510646
1723682882,510646
1723683214,510646
1723683545,510646
1723683876,510646
1723684209,510646
1723684539,510646
1723684870,510646
1723685202,510646
1723685533,510646
1723685865,510646
1723686196,510646
1723686526,510646
1723686857,510646
1723687186,510646
1723687517,510646
1723687847,510646
1723688177,510646
1723688507,510646
1723688837,510646
1723689167,510646
1723689498,510646
1723689828,510646
1723690158,510646
1723690489,510646
1723690819,510646
1723691150,510646
1723691483,510646
1723691814,510646
1723692144,510646
1723692474,510646
1723692805,510646
1723693137,510646
1723693467,510646
1723693798,510646
1723694129,510646
1723694460,510646
1723694791,510646
1723695125,515992
1723695462,516102
1723695798,516104
1723699700,516104
1723729395,516104
1723732434,516104
1723732878,516104
