time,lines
1721565357,11890
1721565690,494185
1721566020,494245
1721566351,494488
1721566681,507092
1721567013,507106
1721567343,507146
1721567672,516899
1721568003,520927
1721568333,520927
1721568663,520927
1721568993,520927
1721569323,522196
1721569656,522205
1721569988,522238
1721570317,522238
1721570647,522238
1721570977,522238
1721571306,522238
1721571636,522238
1721571965,522238
1721572295,522246
1721572625,522246
1721572955,522246
1721573285,522246
1721573614,522246
1721573944,522246
1721574274,522246
1721574603,522246
1721574933,522246
1721575264,522246
1721575593,522246
1721575923,522246
1721576252,522246
1721576584,522246
1721576913,522246
1721577243,522246
1721577573,522246
1721577902,522246
1721578232,522246
1721578561,522246
1721578890,522246
1721579220,522246
1721579550,522246
1721579879,522246
1721580209,522246
1721580538,522246
1721580868,522246
1721581197,522246
1721581526,522246
1721581856,522246
1721582185,522246
1721582514,522246
1721582843,522246
1721583173,522246
1721583503,522246
1721583832,522246
1721584161,522246
1721584491,522246
1721584820,522246
1721585149,522281
1721585480,522451
1721585810,522452
1721586140,522484
1721586470,522484
1721586799,522484
1721587128,522484
1721587458,522484
1721587787,522484
1721588116,522484
1721588447,522484
1721588776,522484
1721589105,522484
1721589434,522484
1721589764,522484
1721590093,522484
1721590422,522484
1721590751,522484
1721591080,522484
1721591410,522484
1721591740,522484
1721592069,522484
1721592399,522484
1721592730,522484
1721593060,522484
1721593391,522484
1721593720,522484
1721594050,522484
1721594379,522484
1721594710,522484
1721595040,522484
1721595369,522484
1721595699,522484
1721596029,522484
1721596359,522484
1721596689,522484
1721597018,522484
1721597347,522484
1721597677,522484
1721598007,522484
1721598336,522484
1721598665,522484
1721598994,522484
1721599324,522484
1721599654,522484
1721599983,522484
1721600312,522484
1721600642,522484
1721600971,522484
1721601301,522484
1721601630,522484
1721601960,522484
1721602289,522484
1721602618,522484
1721602948,522484
1721603278,522484
1721603608,522484
1721603937,522484
1721604267,522484
1721604597,522484
1721604926,522484
1721605256,522484
1721605586,522484
1721605915,522484
1721606244,522484
1721606573,522484
1721606902,522484
1721607232,522484
1721607562,522484
1721607892,522484
1721608221,522484
1721608551,522484
1721608880,522484
1721609210,522484
1721609539,522484
1721609869,522484
1721610198,522484
1721610528,522484
1721610857,522484
1721611186,522484
1721611516,522484
1721611846,522484
1721612175,522484
1721612505,522484
1721612834,522484
1721613164,522484
1721613494,522484
1721613824,522484
1721614153,522484
1721614483,522484
1721614812,522484
1721615141,522484
1721615471,522484
1721615800,522484
1721616130,522484
1721616461,522484
1721616790,522484
1721617121,522484
1721617451,522484
1721617781,522484
1721618111,522484
1721618440,522484
1721618769,522484
1721619098,522484
1721619428,522484
1721619759,522484
1721620088,522484
1721620417,522484
1721620748,522484
1721621077,522484
1721621407,522484
1721621737,522484
1721622067,522484
1721622396,522484
1721622725,522484
1721623055,522484
1721623384,522484
1721623714,522484
1721624045,522484
1721624374,522484
1721624703,522484
1721625034,522484
1721625363,522484
1721625693,522484
1721626022,522484
1721626352,522484
1721626681,522484
1721627011,522484
1721627341,522484
1721627670,522484
1721628000,522484
1721628330,522484
1721628659,522484
1721628988,522484
1721629318,522484
1721629648,522484
1721629978,522484
1721630307,522484
1721630637,522484
1721630967,522484
1721631297,522484
1721631627,522484
1721631957,522484
1721632287,522484
1721632616,522484
1721632946,522484
1721633275,533159
1721633605,533159
1721633936,533159
1721634268,533159
1721634608,533159
1721647720,533159
1721668611,533159
1721671194,533159
1721680118,533159
