query,size,data_dependencies,max_depth,keyword_count,union_count,all_count,optional_count,match_count,foreach_count,unwind_count,as_count,merge_count,on_count,create_count,set_count,detach_count,delete_count,remove_count,call_count,yield_count,with_count,return_count,distinct_count,order_count,by_count,l_skip_count,limit_count,ascending_count,asc_count,descending_count,desc_count,where_count,or_count,xor_count,and_count,not_count,starts_count,ends_count,contains_count,in_count,is_count,null_count,count_count,case_count,else_count,end_count,when_count,then_count,any_count,none_count,single_count,exists_count,true_count,false_count
FOREACH (n0 IN [] | CREATE (x) ) MERGE ()<-[x:A]-()<-[:A]->(),61,2,2,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RETURN (-1 IS NOT NULL),23,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CREATE (x) DELETE x CREATE (x)<-[:A]-(x),40,3,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNWIND [0]+[] AS i RETURN toBoolean(i),38,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREATE ()-[m:X]->(), ({n1:EXISTS { RETURN m AS x } })",53,1,2,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MERGE ()<-[x:A]-() DELETE x MERGE (:B)<-[:C]-() DELETE x,56,2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE x = () RETURN *,21,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATCH ({n0:0}) MATCH ()-->() MATCH ({n1:0})--() RETURN 0 AS n2,62,0,1,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE () WITH 0 AS x MATCH ()<-[*..0]-() RETURN 0,49,0,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREATE ()-[x:A]->() DELETE x RETURN x,37,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITH [] AS n0 ORDER BY null CALL { WITH [] AS n1 ORDER BY null UNWIND [0] AS x UNWIND [x] AS n2 RETURN 0 AS n3 } FOREACH ( n4 IN null | MERGE () ),146,1,2,21,0,0,0,0,1,2,5,1,0,0,0,0,0,0,1,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
REMOVE null.n0 RETURN 0,23,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WITH [0, 0] AS n0 OPTIONAL MATCH () UNWIND [0, 0, 0] AS n1 UNWIND [0, 0] AS n2 MERGE ()",87,0,1,9,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE n0 = ()<-[:A]-(x)<-[:B]-(x)-[:B]->()<-[:B]-(x),52,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREATE (x)-[:A{n0:properties(x).n1}]->(),40,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREATE ({n0:(substring("" "", 1, 2147483647))}) CREATE ()",55,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RETURN EXISTS { WITH 0 AS n0 MATCH ({n1:COUNT { RETURN 0 AS x } }) },68,0,3,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
